algo,m,n,iter,opt,eta,rho,row_resid,col_resid,cost,time,rel_err,abs_err,rel_conv,grad_norm,cg_iter,cg_time,kkt_err,Delta_p,Delta_d,Delta_c,newton_iter
our,5000,5000,0,0.00045949154617637954,0.0001,0.0,1.8820401196685e-18,3.2524927812438965e-17,0.4998803139463323,0.0,1086.8988266618712,0.49942082240015595,1.0,,[],[],0.00017304893962615244,3.2001338145247454e-17,0.0,0.00017304893962615244,0
our,5000,5000,1,0.00045949154617637954,0.0001,0.0,2.0046243843951554e-18,4.893526502095264e-06,0.001192707812887799,9.776510875,1.5957122014818712,0.0007332162667114195,0.9976140132355446,,"[42, 46, 73, 178]","[0.5927493750000004, 0.6456086250000004, 0.9840086669999994, 2.6498107500000003]",4.814750004038134e-06,4.814750004038134e-06,3.8869111106695e-22,3.210249418380801e-07,4
our,5000,5000,2,0.00045949154617637954,0.0001,0.0,2.115839634464251e-18,8.409504768711631e-07,0.0007365310378631262,18.714991834000003,0.6029261996049929,0.00027703949168674663,0.38247152411970203,,"[39, 85, 193]","[0.5036121659999999, 1.4281882910000014, 3.686774875000001]",8.274127687216274e-07,8.274127687216274e-07,3.7804114459870784e-22,1.243560051815578e-07,3
our,5000,5000,3,0.00045949154617637954,0.0001,0.0,2.1598054367164922e-18,2.471247662731963e-07,0.0006062354641812197,25.495757043,0.3193615186741898,0.00014674391800484018,0.17690438960987823,,"[67, 219]","[0.9109429999999996, 3.432297417000001]",2.4314652611002286e-07,2.4314652611002286e-07,4.33720777758027e-22,6.826766958408027e-08,2
our,5000,5000,4,0.00045949154617637954,0.0001,0.0,2.182121648299569e-18,5.1979735835072694e-08,0.0005484286738228915,32.93213421,0.19355552542064114,8.893712764651194e-05,0.09535369303477151,,"[86, 251]","[1.329214583999999, 3.999461458000006]",5.114296064702202e-08,5.114296064702202e-08,4.317024706963044e-22,4.370098575565312e-08,2
our,5000,5000,5,0.00045949154617637954,0.0001,0.0,2.1626299422741946e-18,4.903920802478632e-09,0.0005188132439609799,40.800739002,0.129102914467613,5.9321697784600375e-05,0.05400051323989583,,"[107, 268]","[1.7211444169999979, 3.7194685420000013]",3.0568373296959384e-08,4.824976975893986e-09,4.350201660689114e-22,3.0568373296959384e-08,2
our,5000,5000,6,0.00045949154617637954,0.0001,0.0,2.2461534473018894e-18,9.666721927191558e-10,0.0005015846112529569,48.066405377,0.09160792059582223,4.2093065076577365e-05,0.03320777352653469,,"[115, 267]","[1.4897982079999963, 3.2521162500000003]",2.2687232674961004e-08,9.511106033256956e-10,4.480715593470824e-22,2.2687232674961004e-08,2
our,5000,5000,7,0.00045949154617637954,0.0001,0.0,2.1990956899516963e-18,3.376248176268993e-10,0.0004907458891309283,54.96618312700001,0.06801940800571664,3.125434295454875e-05,0.02160896063966859,,"[114, 267]","[1.3639407080000012, 3.2609793329999945]",1.7616790578551803e-08,3.321896982342821e-10,4.28736667857862e-22,1.7616790578551803e-08,2
our,5000,5000,8,0.00045949154617637954,0.0001,0.0,2.1988493591156537e-18,4.5929554312328207e-07,0.0004885030211684038,57.742968711,0.06313821273414234,2.901147499202424e-05,0.004570324504391567,,[120],[1.455997042],4.519017557503093e-07,4.519017557503093e-07,4.462063279539856e-22,1.4155532910922516e-08,1
our,5000,5000,9,0.00045949154617637954,0.0001,0.0,2.154635277455227e-18,2.77473098099873e-07,0.0004815352868669961,61.053119794,0.04797420295117875,2.2043740690616553e-05,0.0142634415745111,,[162],[2.0064422079999957],2.7300630733783023e-07,2.7300630733783023e-07,4.444350607051803e-22,1.168412569898209e-08,1
