algo,data_name,iter,opt,eta,cost,time,rel_err,abs_err,kkt_err
HOT,DOTmark,0,0.0051366003308101,,0.17395470476910305,0.0,32.86572705018466,0.16881810443829295,1.0
HOT,DOTmark,1,0.0051366003308101,,0.014795239108538876,6.668009791000003,1.8803562971007908,0.009658638777728776,0.0163924445230101
HOT,DOTmark,2,0.0051366003308101,,0.00382721100714275,13.325308540999998,0.25491360809472285,0.0013093893236673496,0.0008255516692933637
HOT,DOTmark,3,0.0051366003308101,,0.004024047399840183,19.966783332999995,0.216593244426018,0.0011125529309699168,0.0001567546963936655
HOT,DOTmark,4,0.0051366003308101,,0.003659738483630344,26.630130166000015,0.2875173757088548,0.0014768618471797555,5.257914385223566e-05
HOT,DOTmark,5,0.0051366003308101,,0.004425804082063939,33.28081904100003,0.13837873359207994,0.0007107962487461605,3.6101913915869603e-05
HOT,DOTmark,6,0.0051366003308101,,0.004424516627637493,39.940090499000064,0.1386293768859963,0.0007120837031726066,2.0450580787521296e-05
HOT,DOTmark,7,0.0051366003308101,,0.004654330268105693,46.619873916000074,0.0938889599433459,0.0004822700627044067,1.6062741913363183e-05
HOT,DOTmark,8,0.0051366003308101,,0.004782922165952827,53.3360072910001,0.0688545228515946,0.00035367816485727243,1.3571714658755701e-05
HOT,DOTmark,9,0.0051366003308101,,0.004909345378193239,59.996357583000076,0.04424228828039269,0.0002272549526168609,1.1893402748002057e-05
HOT,DOTmark,10,0.0051366003308101,,0.004958442304603706,66.65656604200012,0.03468403510737923,0.00017815802620639327,1.068484049016625e-05
HOT,DOTmark,11,0.0051366003308101,,0.004658660111446876,73.32869575100017,0.09304602043816144,0.0004779402193632234,8.394737679516861e-06
HOT,DOTmark,12,0.0051366003308101,,0.004948632661718212,80.0026870010002,0.03659378907960375,0.00018796766909188762,7.404237807971849e-06
HOT,DOTmark,13,0.0051366003308101,,0.005029220899817801,86.70767491700019,0.020904766592062977,0.0001073794309922986,6.697805287742831e-06
HOT,DOTmark,14,0.0051366003308101,,0.005040045988505334,93.38659633400022,0.01879732431694525,9.655434230476569e-05,6.093175353376348e-06
HOT,DOTmark,15,0.0051366003308101,,0.005052418898338801,100.06638045900024,0.016388550218004214,8.418143247129837e-05,5.559973027747752e-06
HOT,DOTmark,16,0.0051366003308101,,0.005074959345765429,106.75376566800026,0.012000346741976189,6.164098504467079e-05,5.163960967797571e-06
HOT,DOTmark,17,0.0051366003308101,,0.005124043372038985,113.43128108500025,0.002444604984311595,1.2556958771114957e-05,4.7975570841738605e-06
HOT,DOTmark,18,0.0051366003308101,,0.005138688550125595,120.10201800100026,0.0004065372388367293,2.088219315495368e-06,4.475594996339585e-06
HOT,DOTmark,19,0.0051366003308101,,0.005157656546428127,126.78459620900026,0.004099251306691853,2.1056215618027105e-05,4.185001607243766e-06
HOT,DOTmark,20,0.0051366003308101,,0.0051695821829658255,133.48044695900023,0.0064209496615681245,3.298185215572583e-05,3.978668504747016e-06
HOT,DOTmark,21,0.0051366003308101,,0.0051080974091017445,140.15319662600024,0.005548985685608118,2.8502921708355167e-05,3.5170437419425466e-06
HOT,DOTmark,22,0.0051366003308101,,0.005176502813802253,146.83876629300028,0.007768267029227999,3.990248299215373e-05,3.293171129203861e-06
HOT,DOTmark,23,0.0051366003308101,,0.005185101947107768,153.47735371000027,0.00944235742982544,4.8501616297668554e-05,3.1280840175476103e-06
HOT,DOTmark,24,0.0051366003308101,,0.005188065573878791,160.13375733500027,0.010019320125024198,5.146524306869158e-05,2.965568423192849e-06
HOT,DOTmark,25,0.0051366003308101,,0.0052154116320056116,166.79137983500027,0.015343086111409117,7.881130119551192e-05,2.802790605368203e-06
HOT,DOTmark,26,0.0051366003308101,,0.005215825929886179,173.49493896000024,0.015423742158966918,7.922559907607915e-05,2.6802602523542396e-06
HOT,DOTmark,27,0.0051366003308101,,0.005216284871132831,180.14713375100024,0.015513089434809864,7.9684540322731e-05,2.5801853873610553e-06
HOT,DOTmark,28,0.0051366003308101,,0.005230494737897738,186.88281762600025,0.018279484686485294,9.389440708763852e-05,2.5048798579803526e-06
HOT,DOTmark,29,0.0051366003308101,,0.005236528182776582,193.55228250100026,0.01945408354375948,9.992785196648226e-05,2.4283576558107297e-06
HOT,DOTmark,30,0.0051366003308101,,0.00524306000042721,200.21316320900024,0.020725706257220273,0.00010645966961711061,2.3652549285902897e-06
HOT,DOTmark,31,0.0051366003308101,,0.005244701845695198,206.86793675000024,0.02104534281880745,0.0001081015148850983,2.3101723959501413e-06
HOT,DOTmark,32,0.0051366003308101,,0.005245234280263562,213.61626008300027,0.021148997869633663,0.00010863394945346237,2.273271137579697e-06
HOT,DOTmark,33,0.0051366003308101,,0.005254562850328223,220.26916233300022,0.02296509596251166,0.00011796251951812307,2.225660915804616e-06
HOT,DOTmark,34,0.0051366003308101,,0.0052497821398468335,226.9087717080002,0.022034381058976375,0.00011318180903673383,2.184427753844851e-06
HOT,DOTmark,35,0.0051366003308101,,0.005257679385351853,233.56973349900017,0.023571827034216234,0.00012107905454175356,2.153529298021922e-06
HOT,DOTmark,36,0.0051366003308101,,0.005262205443446107,240.21706979000015,0.02445296588146229,0.00012560511263600728,2.125918903429744e-06
HOT,DOTmark,37,0.0051366003308101,,0.005275329142416778,246.94690008200013,0.027007904581277574,0.00013872881160667799,2.1034416500529368e-06
HOT,DOTmark,38,0.0051366003308101,,0.005260160733313363,253.6249820820001,0.024054899066631583,0.00012356040250326335,2.0796451953356924e-06
