algo,data_name,iter,opt,eta,row_resid,col_resid,cost,time,rel_err,abs_err,rel_conv,grad_norm,cg_iter,cg_time,kkt_err,Delta_p,Delta_d,Delta_c,newton_iter
SPLR,MNIST,0,0.006101280767736932,0.0001,28.078033269035778,28.077885791374612,0.04713769251590305,0.0,6.725868438175026,0.04103641174816612,1.0,39.69558436745522,0,0.0,,,,,
SPLR,MNIST,1,0.006101280767736932,0.0001,9.281810266214665,9.281287291676126,0.04705073802167679,0.010416708000001051,6.711616595400297,0.04094945725393986,0.0018446913623726502,13.120907783499135,6,0.0002582090000018411,,,,,
SPLR,MNIST,2,0.006101280767736932,0.0001,7.179061632053362,7.18716629052132,0.045427913432621383,0.02345699899999687,6.4456356233990135,0.03932663266488445,0.03449094865010939,10.157842075380234,24,0.0007882920000028548,,,,,
SPLR,MNIST,3,0.006101280767736932,0.0001,2.0434993501209666,2.0380270309299267,0.046923796991702474,0.03855233199999475,6.690810958877951,0.040822516223965544,0.032928731391103465,2.8847808569460223,90,0.0027652919999994197,,,,,
SPLR,MNIST,4,0.006101280767736932,0.0001,1.65163678160633,1.5423288767701988,0.046112224397599356,0.05612562299999979,6.55779419977474,0.040010943629862426,0.017295543969867308,2.25919009369482,82,0.0025347500000023615,,,,,
SPLR,MNIST,5,0.006101280767736932,0.0001,0.8318107796429566,0.7954311058528469,0.04558794658287699,0.0710763729999968,6.471865058881125,0.03948666581514006,0.011369605816492857,1.1505133067730802,86,0.0026206659999985504,,,,,
SPLR,MNIST,6,0.006101280767736932,0.0001,1.3924211014771597,1.1966924809270907,0.04455697014416671,0.09207337299999807,6.302888006692018,0.03845568937642978,0.022615110264639957,1.835855467977611,120,0.0036477499999989504,,,,,
SPLR,MNIST,7,0.006101280767736932,0.0001,0.7980968329750815,0.8757618507536559,0.04271449994144846,0.10828362299999839,6.000907115653356,0.03661321917371153,0.041350886219525915,1.1848274771210638,125,0.0038346669999995697,,,,,
SPLR,MNIST,8,0.006101280767736932,0.0001,1.5163308545528291,2.3252539609931846,0.04091037479029786,0.12900633099999936,5.705210979083038,0.03480909402256093,0.0422368318398583,2.7759698576768814,197,0.005968125000002544,,,,,
SPLR,MNIST,9,0.006101280767736932,0.0001,1.954536092854708,1.9060533833436377,0.03943163291742836,0.14796128899999417,5.462845166205033,0.033330352149691427,0.03614588916501926,2.7300626911829187,224,0.006794666999994092,,,,,
SPLR,MNIST,10,0.006101280767736932,0.0001,0.15618783756984744,0.15216956180544627,0.039670676940703774,0.21013174699999837,5.502024484839156,0.033569396172966844,0.006062240023789686,0.2180110214981706,605,0.018544541000004244,,,,,
SPLR,MNIST,11,0.006101280767736932,0.0001,0.1228445539356949,0.11699098065967231,0.03846673735288659,0.23259291400000137,5.3046987701820765,0.03236545658514966,0.030348349981945796,0.16963399817200261,199,0.0063165840000039,,,,,
SPLR,MNIST,12,0.006101280767736932,0.0001,0.28905545642771996,0.4155160206573357,0.03803127329924757,0.280231998000005,5.233326205926106,0.03192999253151064,0.01132053518457142,0.5061669146509623,773,0.02403279199999986,,,,,
SPLR,MNIST,13,0.006101280767736932,0.0001,0.15978636105876245,0.1872801902458076,0.03741652132949368,0.33808466400000015,5.13256834980438,0.031315240561756746,0.016164380427569184,0.24617929425442828,1216,0.03726379199999741,,,,,
SPLR,MNIST,14,0.006101280767736932,0.0001,0.17116023026218935,0.19993152271535553,0.03618978746566987,0.39205824700000136,4.931506653002838,0.03008850669793294,0.03278588763025462,0.26318745506734204,1143,0.0354644590000035,,,,,
SPLR,MNIST,15,0.006101280767736932,0.0001,0.3310783675510994,0.34299946899790235,0.03568728185673621,0.44952516400000064,4.849145976931205,0.02958600108899928,0.013885287649460348,0.4767190061778996,1233,0.03846141599999697,,,,,
SPLR,MNIST,16,0.006101280767736932,0.0001,0.1644548878836778,0.1740211080259856,0.033933245511431495,0.5144607050000047,4.56165939631359,0.027831964743694565,0.04915018051377958,0.23943359092518424,1482,0.04620791600000018,,,,,
SPLR,MNIST,17,0.006101280767736932,0.0001,0.18526194647505037,0.1868950480543632,0.03318240593008886,0.5771644960000089,4.438596778819732,0.027081125162351928,0.02212696044914692,0.2631568089602318,1367,0.042260792000000436,,,,,
SPLR,MNIST,18,0.006101280767736932,0.0001,1.002521626312163,1.070396519061299,0.034226416470067446,0.6420965370000076,4.60971012038225,0.028125135702330516,0.03146277404291256,1.4665599772547702,1534,0.04746312500000016,,,,,
SPLR,MNIST,19,0.006101280767736932,0.0001,0.39714142115832946,0.4108250254246406,0.03294483776498837,0.7231132450000075,4.399659353360355,0.02684355699725144,0.03744413927177786,0.5714003772917865,1954,0.06072658299999745,,,,,
SPLR,MNIST,20,0.006101280767736932,0.0001,1.3293336677618088,1.5584854864761628,0.030264124759517702,0.7988984540000104,3.9602904556616854,0.024162843991780772,0.081369743708969,2.0484152260586774,1873,0.058325666999998305,,,,,
SPLR,MNIST,21,0.006101280767736932,0.0001,0.5077456197628895,0.5617522938181932,0.029192403189558916,0.8983963290000148,3.78463527591222,0.023091122421821986,0.03541227702683662,0.7572127817818637,2512,0.07892399999999355,,,,,
SPLR,MNIST,22,0.006101280767736932,0.0001,1.0619657820410373,1.0912670247983511,0.027941084546919896,0.9749349540000125,3.579544133531773,0.021839803779182966,0.04286453001192351,1.5227064739710365,1892,0.058897416000000646,,,,,
SPLR,MNIST,23,0.006101280767736932,0.0001,0.5745458546389428,0.6229838109531287,0.027572334664689283,1.0749442450000117,3.519106022868101,0.02147105389695235,0.013197407624295759,0.8474737377678133,2474,0.07753220899999747,,,,,
