algo,data_name,iter,opt,eta,row_resid,col_resid,cost,time,rel_err,abs_err,rel_conv,grad_norm,cg_iter,cg_time,kkt_err,Delta_p,Delta_d,Delta_c,newton_iter
BISN,Square,0,6.946465053373141e-05,0.001,2.480917714426016e-18,3.0028103405359835e-17,0.16583501934216086,0.0,2386.3296427458863,0.16576555469162713,1.0,,[],[],0.0006385251024598423,2.897230190177476e-17,0.0,0.0006385251024598423,0
BISN,Square,1,6.946465053373141e-05,0.001,5.209610725768154e-18,1.3459005656944739e-05,0.0005982418871217927,0.16698095899999998,7.612177309253024,0.0005287772365880612,0.9963925479099957,,"[96, 112]","[0.034291207999999074, 0.041717416999997425]",1.298578101742835e-05,1.298578101742835e-05,3.2167241097111457e-21,1.9333958168185308e-06,2
BISN,Square,2,6.946465053373141e-05,0.001,5.193005920781009e-18,4.985591168997897e-07,0.0003145070247470213,0.30109575100000185,3.5275837757839072,0.00024504237421328986,0.4742811703470831,,"[101, 128]","[0.026695582999998635, 0.03526195799999954]",1.1712895985321866e-06,4.810295560699542e-07,3.8794195329133705e-21,1.1712895985321866e-06,2
BISN,Square,3,6.946465053373141e-05,0.001,4.8221499577797555e-18,1.1161954353845331e-06,0.00023526012164705077,0.3777848760000033,2.3867603139068634,0.00016579547111331936,0.25197180623775894,,[127],[0.02860766699999928],1.076949506227268e-06,1.076949506227268e-06,4.340656808015478e-21,7.328520682835223e-07,1
BISN,Square,4,6.946465053373141e-05,0.001,4.6820073899938325e-18,3.7769946927463273e-07,0.00019222513142001565,0.46555895900000266,1.7672367159851017,0.00012276048088628424,0.18292513803762459,,[127],[0.02515845799999994],4.775091926935237e-07,3.6441938753985817e-07,3.2958773719536933e-21,4.775091926935237e-07,1
BISN,Square,5,6.946465053373141e-05,0.001,4.954664687731876e-18,1.651408523101731e-07,0.0001673565404393076,0.5423931250000038,1.4092331733251975,9.789188990557619e-05,0.1293722147411084,,[132],[0.02428604099999987],3.801038360524018e-07,1.5933442631587338e-07,3.38976348448934e-21,3.801038360524018e-07,1
BISN,Square,6,6.946465053373141e-05,0.001,4.7935710898174154e-18,9.442843369118976e-08,0.00015089040768561106,0.6195857500000024,1.1721898336239382,8.142575715187965e-05,0.0983895383501193,,[150],[0.025688666000000637],3.168405245500895e-07,9.110828786224786e-08,3.8590547543644585e-21,3.168405245500895e-07,1
BISN,Square,7,6.946465053373141e-05,0.001,4.648557965982025e-18,7.001921910977898e-08,0.0001391698136583612,0.6973441660000006,1.0034623738700243,6.970516312462978e-05,0.07767620359055828,,[157],[0.024646332999999743],2.721145590767647e-07,6.755731214822369e-08,3.1753294603200067e-21,2.721145590767647e-07,1
BISN,Square,8,6.946465053373141e-05,0.001,4.4155187345851924e-18,5.4556681125268256e-08,0.00013038559359234526,0.771436124000001,0.8770063995215981,6.0920943058613846e-05,0.06311871687620232,,[160],[0.02400162500000036],2.3765962526643515e-07,5.263844389312964e-08,3.863533864101551e-21,2.3765962526643515e-07,1
BISN,Square,9,6.946465053373141e-05,0.001,4.53754634742806e-18,4.3861927667321136e-08,0.00012355610025620672,0.8447131240000019,0.7786903022884852,5.4091449722475305e-05,0.05237920193461841,,[163],[0.02391637499999888],2.1122122586796629e-07,4.231972273495663e-08,3.885928612280638e-21,2.1122122586796629e-07,1
BISN,Square,10,6.946465053373141e-05,0.001,4.5447580411566464e-18,3.6163126087221886e-08,0.00011809375029827208,0.9166976660000046,0.7000553431263115,4.862909976454066e-05,0.044209472026131284,,[163],[0.022543999999999897],1.9005551452700648e-07,3.48916144508789e-08,3.774448044332566e-21,1.9005551452700648e-07,1
BISN,Square,11,6.946465053373141e-05,0.001,4.3663138603604106e-18,3.046148449345849e-08,0.00011362487484757882,0.9837115830000052,0.6357222554859553,4.41602243138474e-05,0.03784176079941673,,[135],[0.01815570800000188],1.7272876298300997e-07,2.939044511759547e-08,3.502241296684113e-21,1.7272876298300997e-07,1
BISN,Square,12,6.946465053373141e-05,0.001,4.5566194672212784e-18,2.613855967147161e-08,0.00010990177697330101,1.0508536250000056,0.5821252410955942,4.0437126439569595e-05,0.032766574038229974,,[141],[0.01821574999999953],1.5828053194944596e-07,2.5219516259700157e-08,3.363335317842466e-21,1.5828053194944596e-07,1
BISN,Square,13,6.946465053373141e-05,0.001,4.4932619753095965e-18,2.2788144317313625e-08,0.00010675253638107925,1.1230472080000062,0.5367893678417223,3.728788584734784e-05,0.02865504706977411,,[184],[0.023417916999999733],1.4604897019535744e-07,2.198690300315727e-08,3.7551499347223974e-21,1.4604897019535744e-07,1
BISN,Square,14,6.946465053373141e-05,0.001,4.458103466806679e-18,2.0131375288695732e-08,0.0001040539681692742,1.1942736670000045,0.49794128912728824,3.458931763554279e-05,0.02527872688824788,,[190],[0.02326587499999988],1.355602516828736e-07,1.9423547158090372e-08,2.6775491917281547e-21,1.355602516828736e-07,1
BISN,Square,15,6.946465053373141e-05,0.001,4.492209609077061e-18,1.7973413333928582e-08,0.00010171567762222919,1.2669304170000046,0.4642796996846182,3.225102708849777e-05,0.02247190172739116,,[194],[0.023338334000001737],1.2646699296732059e-07,1.734146010776743e-08,3.368808357231945e-21,1.2646699296732059e-07,1
BISN,Square,16,6.946465053373141e-05,0.001,4.592579540483304e-18,1.61775926412998e-08,9.967008691863948e-05,1.338580375000003,0.4348317619512183,3.0205436384908067e-05,0.020110869350809468,,[195],[0.022628083000000743],1.1850920510183918e-07,1.560878127134753e-08,2.823869547602615e-21,1.1850920510183918e-07,1
BISN,Square,17,6.946465053373141e-05,0.001,4.358078435332343e-18,1.4649668814703323e-08,9.786554479203412e-05,1.409472209000004,0.40885391404238736,2.8400894258302702e-05,0.01810515253265917,,[198],[0.02245470800000149],1.1148865942044967e-07,1.4134579927710004e-08,3.2764842300173203e-21,1.1148865942044967e-07,1
BISN,Square,18,6.946465053373141e-05,0.001,4.277143526123888e-18,1.3325733497069747e-08,9.626186391612582e-05,1.481187043000002,0.385767626792881,2.6797213382394403e-05,0.016386572815960374,,[194],[0.021630583000000314],1.0524980820326171e-07,1.2857194766113168e-08,3.2569266293912273e-21,1.0524980820326171e-07,1
BISN,Square,19,6.946465053373141e-05,0.001,4.555035819477834e-18,1.2161808020979406e-08,9.482733051713232e-05,1.557748335000003,0.36511635470022286,2.5362679983400904e-05,0.01490240621398549,,[202],[0.021947457999999642],9.966780242174411e-08,1.1734193428691466e-08,3.572221356929023e-21,9.966780242174411e-08,1
BISN,Square,20,6.946465053373141e-05,0.001,4.370218615142596e-18,1.1128118441753531e-08,9.353640097532852e-05,1.6335998350000018,0.3465323766353374,2.407175044159711e-05,0.013613475511372378,,[208],[0.022215499999997945],9.464657854619623e-08,1.073684883593557e-08,3.3600051121053015e-21,9.464657854619623e-08,1
BISN,Square,21,6.946465053373141e-05,0.001,4.439193654780492e-18,1.0203473240353977e-08,9.236854878365298e-05,1.7044045850000025,0.32972019687624626,2.2903898249921568e-05,0.012485536962060126,,[210],[0.022141250000000667],9.010404447560013e-08,9.844714572064827e-09,3.2038419999193446e-21,9.010404447560013e-08,1
