algo,m,n,iter,opt,eta,row_resid,col_resid,cost,time,rel_err,abs_err,rel_conv,grad_norm,cg_iter,cg_time,kkt_err,Delta_p,Delta_d,Delta_c,newton_iter
BISN,10000,10000,0,0.00022736946104261484,0.001,1.2157664054560777e-18,3.20408431532783e-17,0.49996822930036067,0.0,2197.924283884606,0.49974085983931804,1.0,,[],[],8.656957899743456e-05,3.1675194424479156e-17,0.0,8.656957899743456e-05,0
BISN,10000,10000,1,0.00022736946104261484,0.001,1.4352618815312035e-18,1.1272420693934512e-05,0.0010998471218302667,24.517426417,3.8372684563127293,0.0008724776607876519,0.9978001659758075,,"[41, 62, 129]","[0.15592762500000035, 0.23573624999999865, 0.5216942499999995]",1.114378031210971e-05,1.114378031210971e-05,1.4437526155555687e-22,1.7734476690874724e-07,3
BISN,10000,10000,2,0.00022736946104261484,0.001,1.4888801931917497e-18,8.017947574513212e-06,0.0006550983608263538,35.671215583999995,1.8812064637984591,0.000427728899783739,0.4043732553155224,,"[37, 102]","[0.06673720799999927, 0.2006144579999969]",7.926447100440982e-06,7.926447100440982e-06,1.3251081235115195e-22,7.613521573026985e-08,2
BISN,10000,10000,3,0.00022736946104261484,0.001,1.5214112791419152e-18,9.196047721428754e-08,0.0004389997138335367,45.731393000999994,0.9307769470028209,0.00021163025279092185,0.3298720618385094,,"[62, 233]","[0.08046200000000425, 0.3270147910000034]",9.091102818973131e-08,9.091102818973131e-08,1.4039182014028953e-22,4.4795576757779607e-08,2
BISN,10000,10000,4,0.00022736946104261484,0.001,1.548508276795367e-18,9.229208492774592e-09,0.00036556722184859057,56.737232209,0.6078114456192247,0.00013819776080597573,0.16727230034776475,,"[81, 254]","[0.08096341600000301, 0.2742934160000061]",3.0038479330899156e-08,9.123885161017637e-09,1.4475608844886592e-22,3.0038479330899156e-08,2
BISN,10000,10000,5,0.00022736946104261484,0.001,1.578757862027738e-18,1.574809276024322e-06,0.00035095744997726795,62.90274050000001,0.5435557984257594,0.00012358798893465312,0.03996466586212055,,[96],[0.07661699999999882],1.5568376200624384e-06,1.5568376200624384e-06,1.4336212286401106e-22,2.176129029605377e-08,1
BISN,10000,10000,6,0.00022736946104261484,0.001,1.6246660747555897e-18,7.879015933375213e-07,0.0003124542063267683,69.080687459,0.3742136032429018,8.508474528415348e-05,0.10970915036279624,,[115],[0.07829287500000248],7.789100941237059e-07,7.789100941237059e-07,1.4653837270066977e-22,1.652736762472455e-08,1
BISN,10000,10000,7,0.00022736946104261484,0.001,1.5922279464961605e-18,4.120603027442714e-07,0.00028972970705609707,75.201425793,0.2742683460106119,6.236024601348223e-05,0.07272905536405455,,[124],[0.07268558399999847],4.0735788823020093e-07,4.0735788823020093e-07,1.5439067217231838e-22,1.3003326225998304e-08,1
BISN,10000,10000,8,0.00022736946104261484,0.001,1.6237213158375112e-18,2.4056087479318164e-07,0.00027534985822955793,81.338889959,0.21102392980537674,4.7980397186943096e-05,0.04963194479658562,,[133],[0.07313754199999778],2.3781560440044738e-07,2.3781560440044738e-07,1.4922934722201496e-22,1.052461421844727e-08,1
BISN,10000,10000,9,0.00022736946104261484,0.001,1.6332648631283932e-18,1.5394600170485015e-07,0.00026553194939814875,87.484578501,0.1678435097683646,3.8162488355533914e-05,0.035656124519316205,,[134],[0.06628395799999964],1.5218917653149858e-07,1.5218917653149858e-07,1.5114331621420468e-22,8.718241399855617e-09,1
