algo,data_name,iter,opt,eta,cost,time,rel_err,abs_err,kkt_err
HOT,DOTmark,0,0.0016574349207533754,,0.16967018783943996,0.0,101.3691402388925,0.1680127529186866,1.0
HOT,DOTmark,1,0.0016574349207533754,,0.00914434596081066,0.4563900409999997,4.517167429206911,0.0074869110400572845,0.01564455909257882
HOT,DOTmark,2,0.0016574349207533754,,0.0003150614392418612,0.8858093749999991,0.809910220125776,0.0013423734815115143,0.0011324505527270361
HOT,DOTmark,3,0.0016574349207533754,,0.00016465078787557204,1.3155168749999993,0.9006592742713958,0.0014927841328778034,0.0002532196507563
HOT,DOTmark,4,0.0016574349207533754,,4.802402407413012e-05,1.741306999999999,0.9710250921633163,0.0016094108966792453,9.299311119905934e-05
HOT,DOTmark,5,0.0016574349207533754,,0.0006905382508287431,2.1640493749999985,0.5833693123137144,0.0009668966699246323,6.6129795302996e-05
HOT,DOTmark,6,0.0016574349207533754,,0.0005860835500408305,2.590050707999999,0.6463912140970033,0.0010713513707125448,3.6563376433242076e-05
HOT,DOTmark,7,0.0016574349207533754,,0.0009214979861447972,3.0198614999999984,0.4440216176174587,0.0007359369346085782,2.4641489721649243e-05
HOT,DOTmark,8,0.0016574349207533754,,0.0011377289705772492,3.4380477089999983,0.31356039604855046,0.0005197059501761262,1.7329705440711698e-05
HOT,DOTmark,9,0.0016574349207533754,,0.001418364104655658,3.876514875999999,0.14424144990806007,0.00023907081609771748,1.1151570270039855e-05
HOT,DOTmark,10,0.0016574349207533754,,0.0014671568373073852,4.293472542999999,0.11480274794711136,0.00019027808344599024,8.315922738886038e-06
HOT,DOTmark,11,0.0016574349207533754,,0.0015042613400840985,4.714709583999999,0.09241604527051532,0.00015317358066927692,6.328101416211392e-06
HOT,DOTmark,12,0.0016574349207533754,,0.0015474322016160121,5.129958542999998,0.06636925393569136,0.00011000271913736326,5.106557740058636e-06
HOT,DOTmark,13,0.0016574349207533754,,0.0016028858943533389,5.546363250999998,0.03291171539648849,5.4549026400036544e-05,4.911675058115553e-06
HOT,DOTmark,14,0.0016574349207533754,,0.0016200061577611783,5.963828291999998,0.02258234246397087,3.742876299219714e-05,4.0674180475060075e-06
HOT,DOTmark,15,0.0016574349207533754,,0.0016230989003850967,6.384571166999998,0.02071636113028892,3.4336020368278724e-05,3.536290746823894e-06
HOT,DOTmark,16,0.0016574349207533754,,0.0016328657103926428,6.805371583999997,0.014823635035736348,2.4569210360732632e-05,3.0476000398268563e-06
HOT,DOTmark,17,0.0016574349207533754,,0.0016405499199075402,7.2225629999999965,0.010187429162021205,1.688500084583524e-05,2.653672987835216e-06
HOT,DOTmark,18,0.0016574349207533754,,0.0016436730763369112,7.645023291999995,0.00830309790396407,1.3761844416464207e-05,2.2934471031964462e-06
HOT,DOTmark,19,0.0016574349207533754,,0.0016466689317912477,8.084518499999994,0.006495572663108918,1.0765988962127722e-05,2.1238049431392316e-06
HOT,DOTmark,20,0.0016574349207533754,,0.0016449675333429286,8.555970540999995,0.007522097703106077,1.2467387410446769e-05,1.997875018107466e-06
HOT,DOTmark,21,0.0016574349207533754,,0.0016456943647702364,8.992547415999995,0.007083569819925347,1.174055598313897e-05,1.9041766865676455e-06
HOT,DOTmark,22,0.0016574349207533754,,0.0016526259721567117,9.425650998999997,0.0029014403741884644,4.8089485966637015e-06,1.774682332879349e-06
HOT,DOTmark,23,0.0016574349207533754,,0.00166039607988912,9.865791498999997,0.0017865914966957784,2.961159135744622e-06,1.6440460089801576e-06
HOT,DOTmark,24,0.0016574349207533754,,0.0016629954081026964,10.287318414999996,0.0033548752229701512,5.560487349320995e-06,1.5189669813660651e-06
HOT,DOTmark,25,0.0016574349207533754,,0.0016636829680397825,10.717162956999998,0.0037697089690659686,6.248047286407142e-06,1.7332779217453554e-06
HOT,DOTmark,26,0.0016574349207533754,,0.0016632603696391996,11.139372249,0.003514737630347689,5.825448885824229e-06,1.5780424093399753e-06
HOT,DOTmark,27,0.0016574349207533754,,0.0016625816115379895,11.56079379,0.0031052144009821657,5.146690784614116e-06,1.4199376786547241e-06
HOT,DOTmark,28,0.0016574349207533754,,0.0016606762270167993,11.998184332,0.00195561600810882,3.241306263423874e-06,1.1497960666124494e-06
HOT,DOTmark,29,0.0016574349207533754,,0.0016607230039657089,12.425073623000001,0.0019838385031967823,3.2880832123334536e-06,9.198364979606248e-07
HOT,DOTmark,30,0.0016574349207533754,,0.001657814899855778,12.850160663999999,0.00022925732868591731,3.799791024026739e-07,7.840170425062319e-07
HOT,DOTmark,31,0.0016574349207533754,,0.0016560123394942356,13.270429789,0.0008583029362584019,1.4225812591398337e-06,7.056742039726542e-07
HOT,DOTmark,32,0.0016574349207533754,,0.0016557657202993822,13.711224538999998,0.0010070986396464106,1.6692004539931807e-06,6.236380728314382e-07
HOT,DOTmark,33,0.0016574349207533754,,0.0016570487970935567,14.133390455999999,0.0002329645978758607,3.8612365981871913e-07,5.435408465008144e-07
HOT,DOTmark,34,0.0016574349207533754,,0.0016563584885721425,14.556645248,0.0006494566801715521,1.0764321812328868e-06,4.7341340547695633e-07
HOT,DOTmark,35,0.0016574349207533754,,0.0016549900592481527,14.981051914,0.0014750874828385026,2.4448615052227295e-06,4.1544060596029744e-07
HOT,DOTmark,36,0.0016574349207533754,,0.0016550292460868151,15.403577371999999,0.0014514444195895153,2.4056746665602775e-06,3.619027356029946e-07
HOT,DOTmark,37,0.0016574349207533754,,0.0016552622712163057,15.821259580000001,0.0013108505859657656,2.1726495370696843e-06,3.399427154797909e-07
HOT,DOTmark,38,0.0016574349207533754,,0.001655701259553329,16.240468622,0.0010459905112041262,1.7336612000463936e-06,3.220578705907036e-07
HOT,DOTmark,39,0.0016574349207533754,,0.0016557388750879805,16.666404038000003,0.0010232954815649513,1.6960456653948922e-06,2.7269217948792926e-07
HOT,DOTmark,40,0.0016574349207533754,,0.001656828520957427,17.086049080000002,0.00036586642911606214,6.063997959483008e-07,2.4972951853322026e-07
HOT,DOTmark,41,0.0016574349207533754,,0.001657531216330661,17.507424871,5.809916038316833e-05,9.629557728551424e-08,2.2984333900436747e-07
HOT,DOTmark,42,0.0016574349207533754,,0.0016585295716504253,17.928326955000003,0.0006604487955112768,1.0946508970498953e-06,2.090259317360511e-07
HOT,DOTmark,43,0.0016574349207533754,,0.0016589995761179175,18.347446039000005,0.0009440222025917321,1.5646553645420544e-06,1.890312601794193e-07
HOT,DOTmark,44,0.0016574349207533754,,0.0016594468170760754,18.766114664000007,0.0012138614297962857,2.0118963226999857e-06,1.711049309981254e-07
HOT,DOTmark,45,0.0016574349207533754,,0.0016595502639640467,19.181399206000005,0.0012762752758399445,2.115343210671271e-06,1.532648454273937e-07
HOT,DOTmark,46,0.0016574349207533754,,0.0016597387223656022,19.632890831000005,0.0013899801333856685,2.3038016122268416e-06,1.4081361987076112e-07
HOT,DOTmark,47,0.0016574349207533754,,0.0016594624160499248,20.056575915000003,0.0012232729449357697,2.0274952965493656e-06,1.316688064193813e-07
HOT,DOTmark,48,0.0016574349207533754,,0.0016592252855079513,20.477215207000004,0.0010802021437813876,1.7903647545759304e-06,1.256984206209216e-07
HOT,DOTmark,49,0.0016574349207533754,,0.001658883622194688,20.898877415000005,0.0008740623376356278,1.4487014413126168e-06,1.2274800978677374e-07
HOT,DOTmark,50,0.0016574349207533754,,0.0016588053263857175,21.323591082000007,0.0008268231923816032,1.3704056323420553e-06,2.2784190330634892e-07
HOT,DOTmark,51,0.0016574349207533754,,0.001658929432489256,21.754993748000008,0.0009017016096180929,1.4945117358805549e-06,2.250347691185283e-07
HOT,DOTmark,52,0.0016574349207533754,,0.001659000397699672,22.173829206000008,0.0009445178973210783,1.565476946296506e-06,2.2308513725333176e-07
HOT,DOTmark,53,0.0016574349207533754,,0.0016585849659258962,22.590278914000006,0.0006938704851216941,1.1500451725207812e-06,1.6080405002509993e-07
HOT,DOTmark,54,0.0016574349207533754,,0.0016581593761029819,23.006695414000003,0.00043709429585154147,7.24455349606452e-07,1.2742763622991042e-07
